"","ISO","WEO.Subject.Code","Country","Subject.Descriptor","Units","Scale","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","Estimates.Start.After"
"11","AFG","PPPPC","Afghanistan","Gross domestic product per capita, current prices","Purchasing power parity; international dollars","Units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,459.20",NA,NA,NA,2019
"12","AFG","NGAP_NPGDP","Afghanistan","Output gap in percent of potential GDP","Percent of potential GDP","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"13","AFG","PPPSH","Afghanistan","Gross domestic product based on purchasing-power-parity (PPP) share of world total","Percent","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,0.037,0.036,0.038,0.038,0.041,0.041,0.05,0.051,0.053,0.059,0.06,0.063,0.064,0.06,0.061,0.06,0.06,"0.061",NA,NA,NA,2020
"14","AFG","PPPEX","Afghanistan","Implied PPP conversion rate","National currency per current international dollar","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.092,10.096,10.929,11.736,12.254,13.014,14.883,14.39,15.37,16.613,17.242,17.509,17.036,17.023,17.446,17.206,17.15,17.946,"19.101",NA,NA,NA,2020
"15","AFG","NID_NGDP","Afghanistan","Total investment","Percent of GDP","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.243,30.102,35.354,37.048,29.489,55.852,30.222,36.503,30.269,26.407,25.34,23.093,17.46,18.467,19.283,18.481,18.039,18.192,"16.462",NA,NA,NA,2020
"16","AFG","NGSD_NGDP","Afghanistan","Gross national savings","Percent of GDP","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.151,59.718,72.57,67.274,50.333,119.243,63.99,78.09,59.699,52.981,36.204,24.538,24.009,22.176,28.312,26.058,30.197,29.897,"27.619",NA,NA,NA,2020
"17","AFG","PCPI","Afghanistan","Inflation, average consumer prices","Index","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.263,42.413,49.351,54.566,58.269,63.327,80.057,74.604,76.229,85.227,90.717,97.417,101.97,101.296,105.736,110.998,111.693,114.264,"120.671",NA,NA,NA,2020
"18","AFG","PCPIPCH","Afghanistan","Inflation, average consumer prices","Percent change","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.663,16.358,10.569,6.785,8.681,26.419,-6.811,2.179,11.804,6.441,7.386,4.674,-0.662,4.384,4.976,0.626,2.302,"5.607",NA,NA,NA,2020
"19","AFG","PCPIE","Afghanistan","Inflation, end of period consumer prices","Index","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.89,45.691,51.752,57.219,59.671,69.273,82.306,74.211,81.814,89.433,94.687,101.543,103.053,104.218,109,112.315,113.162,116.3,"122.1",NA,NA,NA,2020
"20","AFG","PCPIEPCH","Afghanistan","Inflation, end of period consumer prices","Percent change","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53,13.266,10.562,4.285,16.092,18.814,-9.836,10.246,9.312,5.875,7.241,1.487,1.131,4.588,3.041,0.755,2.773,"4.987",NA,NA,NA,2020
"21","AFG","TM_RPCH","Afghanistan","Volume of imports of goods and services","Percent change","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.077,-1.088,54.659,-2.541,-9.417,-8.876,30.203,32.771,12.749,30.54,3.61,-14.292,16.07,-7.54,4.199,-5.188,-7.473,"-2.925",NA,NA,NA,2019
"22","AFG","TMG_RPCH","Afghanistan","Volume of Imports of goods","Percent change","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.776,-3.63,50.988,-1.326,-14.673,-4.421,28.028,34,7.977,34.866,7.832,-16.002,24.27,-7.2,2.286,-8.103,-4.937,"-2.844",NA,NA,NA,2019
"23","AFG","TX_RPCH","Afghanistan","Volume of exports of goods and services","Percent change","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.721,-6.049,46.504,-7.69,-10.467,-6.459,30.656,10.856,2.823,-23.515,-37.604,51.906,-11.653,-14.811,-6.6,28.012,-3.838,"0.534",NA,NA,NA,2019
"24","AFG","TXG_RPCH","Afghanistan","Volume of exports of goods","Percent change","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.025,-27.539,17.471,-33.069,38.542,51.414,-20.925,-2.253,-9.483,4.546,9.76,34.978,12.886,13.944,18.11,2.545,1.531,"-16.606",NA,NA,NA,2019
"25","AFG","LUR","Afghanistan","Unemployment rate","Percent of total labor force","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"26","AFG","LE","Afghanistan","Employment","Persons","Millions",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"27","AFG","LP","Afghanistan","Population","Persons","Millions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.707,19.477,20.237,20.947,21.596,22.426,22.997,23.596,24.269,25.031,25.864,26.736,27.601,28.425,29.2,29.7,31.6,32.2,"32.941",NA,NA,NA,2019
"28","AFG","GGR","Afghanistan","General government revenue","National currency","Billions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.235,21.618,31.209,44.926,65.518,81.163,88.162,117.745,154.612,177.821,260.571,271.903,280.187,301.356,344.327,347.829,405.873,395.923,"397.564",NA,NA,NA,2020
"29","AFG","GGR_NGDP","Afghanistan","General government revenue","Percent of GDP","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.845,9.826,12.676,14.733,18.946,18.986,17.036,19.391,21.722,21.265,25.21,24.346,23.684,24.569,28.156,27.059,30.57,26.941,"25.694",NA,NA,NA,2020
"30","AFG","GGX","Afghanistan","General government total expenditure","National currency","Billions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.411,26.242,37.101,47.868,63.294,91.817,108.251,128.548,148.052,183.439,258.689,278.95,300.521,318.255,342.771,356.482,384.176,411.473,"432.266",NA,NA,NA,2020
"31","AFG","GGX_NGDP","Afghanistan","General government total expenditure","Percent of GDP","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.943,11.927,15.069,15.698,18.303,21.478,20.918,21.17,20.801,21.937,25.028,24.977,25.402,25.947,28.029,27.732,28.936,27.999,"27.937",NA,NA,NA,2020
"32","AFG","GGXCNL","Afghanistan","General government net lending/borrowing","National currency","Billions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.176,-4.624,-5.891,-2.941,2.225,-10.654,-20.09,-10.803,6.56,-5.618,1.882,-7.047,-20.334,-16.898,1.556,-8.653,21.697,-15.55,"-34.703",NA,NA,NA,2020
"33","AFG","GGXCNL_NGDP","Afghanistan","General government net lending/borrowing","Percent of GDP","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.098,-2.102,-2.393,-0.965,0.643,-2.492,-3.882,-1.779,0.922,-0.672,0.182,-0.631,-1.719,-1.378,0.127,-0.673,1.634,-1.058,"-2.243",NA,NA,NA,2020
"34","AFG","GGSB","Afghanistan","General government structural balance","National currency","Billions",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"35","AFG","GGSB_NPGDP","Afghanistan","General government structural balance","Percent of potential GDP","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"36","AFG","GGXONLB","Afghanistan","General government primary net lending/borrowing","National currency","Billions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.891,-2.797,2.364,-10.524,-19.994,-10.691,6.643,-4.794,2.66,-6.075,-19.935,-16.27,2.35,-7.767,22.486,-14.971,"-34.131",NA,NA,NA,2020
"37","AFG","GGXONLB_NGDP","Afghanistan","General government primary net lending/borrowing","Percent of GDP","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.393,-0.917,0.684,-2.462,-3.864,-1.761,0.933,-0.573,0.257,-0.544,-1.685,-1.326,0.192,-0.604,1.694,-1.019,"-2.206",NA,NA,NA,2020
"38","AFG","GGXWDN","Afghanistan","General government net debt","National currency","Billions",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"39","AFG","GGXWDN_NGDP","Afghanistan","General government net debt","Percent of GDP","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"40","AFG","GGXWDG","Afghanistan","General government gross debt","National currency","Billions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618.456,595.36,603.134,629.234,79.485,86.083,98.622,98.658,54.784,62.726,69.865,77.111,102.928,112.281,103.181,102.807,98.042,90.092,"114.461",NA,NA,NA,2020
"41","AFG","GGXWDG_NGDP","Afghanistan","General government gross debt","Percent of GDP","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345.977,270.602,244.967,206.356,22.985,20.137,19.057,16.247,7.697,7.501,6.759,6.904,8.7,9.154,8.437,7.998,7.384,6.13,"7.397",NA,NA,NA,2020
"42","AFG","NGDP_FY","Afghanistan","Gross domestic product corresponding to fiscal year, current prices","National currency","Billions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.756,220.013,246.21,304.926,345.817,427.495,517.509,607.227,711.759,836.222,NA,NA,NA,NA,NA,NA,NA,NA,"1,547.29",NA,NA,NA,2020
"43","AFG","BCA","Afghanistan","Current account balance","U.S. dollars","Billions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.481,1.348,1.915,1.864,1.444,5.424,3.477,5.018,4.51,4.754,2.205,0.291,1.35,0.744,1.627,1.431,2.237,2.209,"2.247",NA,NA,NA,2020
"44","AFG","BCA_NGDPD","Afghanistan","Current account balance","Percent of GDP","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.908,29.616,37.216,30.226,20.844,63.39,33.769,41.587,29.43,26.574,10.864,1.444,6.549,3.709,9.029,7.576,12.158,11.705,"11.157",NA,NA,NA,2020
"45","ALB","NGDP_R","Albania","Gross domestic product, constant prices","National currency","Billions",351.279,"252.921",234.711,257.243,281.424,306.47,334.359,297.833,324.13,365.912,391.33,423.784,443.009,467.501,493.283,520.544,551.27,584.254,628.073,649.141,673.204,690.339,700.125,707.14,719.688,735.657,760.044,788.943,820.653,837.786,"808.617",877.475,910.293,930.774,2021
"46","ALB","NGDP_RPCH","Albania","Gross domestic product, constant prices","Percent change","",-10,"-28",-7.2,9.6,9.4,8.9,9.1,-10.924,8.829,12.891,6.946,8.293,4.537,5.529,5.515,5.526,5.903,5.983,7.5,3.354,3.707,2.545,1.418,1.002,1.774,2.219,3.315,3.802,4.019,2.088,"-3.482",8.516,3.74,2.25,2021
"47","ALB","NGDP","Albania","Gross domestic product, current prices","National currency","Billions",20.006,"19.519",63.341,149.142,223.571,267.424,334.359,331.324,384.848,443.594,501.199,563.449,610.494,677.738,737.656,804.163,872.735,965.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,644.08",NA,NA,NA,2021
"48","ALB","NGDPD","Albania","Gross domestic product, current prices","U.S. dollars","Billions",2.221,"1.333",0.843,1.461,2.361,2.882,3.2,2.259,2.56,3.209,3.483,3.928,4.348,5.611,7.185,8.052,8.896,10.677,12.881,12.044,11.937,12.899,12.324,12.784,13.246,11.389,11.862,13.053,15.157,15.399,"15.161",18.31,18.509,20.177,2021
"49","ALB","PPPGDP","Albania","Gross domestic product, current prices","Purchasing power parity; international dollars","Billions",9.782,"7.281",6.911,7.754,8.664,9.633,10.702,9.697,10.672,12.217,13.362,14.796,15.708,16.904,18.315,19.933,21.761,23.686,25.951,26.994,28.331,29.655,30.53,30.604,32.529,33.595,34.736,37.609,40.061,41.631,"40.706",46.156,51.237,54.392,2021
"50","ALB","NGDP_D","Albania","Gross domestic product, deflator","Index","",5.695,"7.717",26.987,57.977,79.443,87.259,100,111.245,118.733,121.229,128.076,132.957,137.806,144.97,149.54,154.485,158.314,165.258,172.062,176.223,184.141,188.404,190.368,190.917,193.876,194.969,193.736,196.547,199.442,201.949,"203.32",215.372,227.835,235.243,2021
"51","ALB","NGDPRPC","Albania","Gross domestic product per capita, constant prices","National currency","Units",NA,"77,421.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"280,984.50",NA,NA,NA,2021
"52","ALB","NGDPRPPPPC","Albania","Gross domestic product per capita, constant prices","Purchasing power parity; 2017 international dollar","Units",NA,"3,690.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13,394.46",NA,NA,NA,2021
"53","ALB","NGDPPC","Albania","Gross domestic product per capita, current prices","National currency","Units",NA,"5,975.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"571,296.57",NA,NA,NA,2021
"54","ALB","NGDPDPC","Albania","Gross domestic product per capita, current prices","U.S. dollars","Units",675.736,"408.022",259.75,452.623,736.028,903.989,NA,717.381,818.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,268.24",NA,NA,NA,2021
"55","ALB","PPPPC","Albania","Gross domestic product per capita, current prices","Purchasing power parity; international dollars","Units",NA,"2,228.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14,144.72",NA,NA,NA,2021
"56","ALB","NGAP_NPGDP","Albania","Output gap in percent of potential GDP","Percent of potential GDP","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"57","ALB","PPPSH","Albania","Gross domestic product based on purchasing-power-parity (PPP) share of world total","Percent","",0.035,"0.025",0.021,0.022,0.024,0.025,0.026,0.022,0.024,0.026,0.026,0.028,0.028,0.029,0.029,0.029,0.029,0.029,0.031,0.032,0.031,0.031,0.03,0.029,0.03,0.03,0.03,0.031,0.031,0.031,"0.031",0.031,0.031,0.031,2021
"58","ALB","PPPEX","Albania","Implied PPP conversion rate","National currency per current international dollar","",2.045,"2.681",9.166,19.235,25.806,27.763,31.244,34.168,36.062,36.309,37.51,38.081,38.864,40.093,40.276,40.343,40.105,40.763,41.643,42.378,43.756,43.858,43.655,44.114,42.894,42.694,42.39,41.231,40.856,40.641,"40.389",40.945,40.478,40.256,2021
"59","ALB","NID_NGDP","Albania","Total investment","Percent of GDP","",49.84,"9.509",7.438,18.881,25.603,25.746,18.064,16.659,19.743,19.735,30.796,34.989,35.264,33.897,34.197,36.87,35.698,34.462,33.374,32.641,31.318,33.462,29.824,27.491,27.288,26.237,25.47,24.672,24.118,23.032,"22.79",27.016,27.088,25.935,2021
"60","ALB","NGSD_NGDP","Albania","Gross national savings","Percent of GDP","",41.016,"-8.026",9.426,23.388,21.832,21.481,16.07,10.2,16.235,17.803,23.768,28.703,25.056,26.156,28.359,27.784,29.59,23.837,17.569,16.654,20.023,20.254,19.674,16.827,13.361,15.804,16.796,17.085,17.109,14.742,"14.074",16.51,16.019,16.513,2021
"61","ALB","PCPI","Albania","Inflation, average consumer prices","Index","",3.385,"4.594",14.976,27.706,33.958,36.605,41.266,54.953,66.298,66.556,66.582,68.66,72.231,73.938,76.058,77.855,79.7,82.059,84.775,86.667,89.8,92.892,94.783,96.608,98.167,100,101.287,103.297,105.393,106.88,"108.613",110.831,118.286,124.228,2022
"62","ALB","PCPIPCH","Albania","Inflation, average consumer prices","Percent change","",-0.18,"35.717",225.996,85.005,22.565,7.794,12.734,33.167,20.646,0.389,0.039,3.12,5.202,2.363,2.867,2.363,2.37,2.96,3.31,2.231,3.615,3.443,2.036,1.925,1.613,1.868,1.287,1.985,2.029,1.411,"1.621",2.043,6.726,5.024,2022
"63","ALB","PCPIE","Albania","Inflation, end of period consumer prices","Index","",3.391,"6.919",23.289,30.495,35.318,37.443,43.959,62.453,67.878,67.179,70.004,72.474,73.692,76.123,77.8,79.385,81.38,83.843,85.7,88.7,91.8,93.4,95.7,97.4,98.1,100,102.165,104.011,105.882,107.1,"108.225",112.229,120.563,125.208,2022
"64","ALB","PCPIEPCH","Albania","Inflation, end of period consumer prices","Percent change","",NA,"104.047",236.58,30.941,15.818,6.015,17.402,42.073,8.686,-1.029,4.205,3.527,1.681,3.298,2.204,2.038,2.513,3.027,2.215,3.501,3.495,1.743,2.463,1.776,0.719,1.937,2.165,1.808,1.799,1.15,"1.051",3.7,7.425,3.853,2022
"65","ALB","TM_RPCH","Albania","Volume of imports of goods and services","Percent change","",0,"0",0,0,0,0,NA,-9.901,28.907,38.743,-3.432,23.272,11.868,8.409,10.704,8.434,5.357,18.949,3.562,-2.234,-9.358,3.641,-7.608,-0.617,5.419,0.072,8.269,6.033,5.767,4.721,"-19.54",23.749,7.203,-0.442,2021
"66","ALB","TMG_RPCH","Albania","Volume of Imports of goods","Percent change","",0,"0",NA,NA,NA,NA,NA,-10.186,31.411,30.279,-14.3,33.181,6.066,7.733,21.067,9.912,7.129,21.238,-0.658,-2.597,-11.012,3.81,-5.197,-1.31,6.114,2.161,9.385,4.391,4.235,3.461,"-5.081",18.269,1.949,-2.494,2021
"67","ALB","TX_RPCH","Albania","Volume of exports of goods and services","Percent change","",NA,"0",0,0,NA,NA,NA,-19.051,24.363,88.951,16.254,23.9,3.878,9.51,20.63,6.026,12.577,16.999,-7.623,3.32,10.45,1.013,-0.409,8.286,3.313,5.254,10.316,10.18,3.468,1.71,"-27.569",44.541,13.68,-0.395,2021
"68","ALB","TXG_RPCH","Albania","Volume of exports of goods","Percent change","",0,"0",0,NA,NA,NA,NA,-13.472,33.237,25.413,-7.088,23.048,8.253,25.15,24.013,2.948,5.275,19.997,-54.986,-15.611,60.695,12.223,23.234,26.685,-6.205,4.292,-0.573,-1.377,14.145,-8.414,"-1.931",30.154,5.002,-6.145,2021
"69","ALB","LUR","Albania","Unemployment rate","Percent of total labor force","",8.457,"8.9",26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.44,15.751,15,14.4,14.1,13.8,13.4,13.1,13.8,14,14,13.4,15.9,17.5,17.1,15.2,13.7,12.3,11.47,"11.675",11.4,11.1,11,2021
"70","ALB","LE","Albania","Employment","Persons","Millions",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"71","ALB","LP","Albania","Population","Persons","Millions",3.287,"3.267",3.247,3.227,3.208,3.188,3.168,3.148,3.129,3.109,3.089,3.06,3.051,3.04,3.027,3.011,2.993,2.97,2.947,2.928,2.913,2.905,2.9,2.895,2.889,2.881,2.876,2.884,2.883,2.881,"2.878",2.873,2.866,2.858,2021
"72","ALB","GGR","Albania","General government revenue","National currency","Billions",NA,NA,NA,NA,NA,NA,NA,60.956,103.238,125.387,130.642,145.639,154.595,167.224,184.355,204.533,226.283,252.291,290.078,298.487,320.653,330.449,330.384,323.709,366.569,379.231,407.021,430.397,449.389,460.349,"425.906",510.951,572.79,604.467,2022
"73","ALB","GGR_NGDP","Albania","General government revenue","Percent of GDP","",NA,NA,NA,NA,NA,NA,NA,18.398,26.826,28.266,26.066,25.848,25.323,24.674,24.992,25.434,25.928,26.13,26.842,26.093,25.867,25.407,24.789,23.977,26.272,26.44,27.642,27.756,27.457,27.209,"25.905",27.037,27.618,27.607,2022
"74","ALB","GGX","Albania","General government total expenditure","National currency","Billions",NA,NA,NA,NA,NA,NA,NA,100.391,141.437,164.607,169.596,184.163,192.517,201.152,222.439,232.339,254.762,282.987,342.86,373.832,364.29,376.183,376.241,394.117,442.718,441.161,429.073,452.193,475.91,491.928,"536.28",596.278,651.015,664.048,2022
"75","ALB","GGX_NGDP","Albania","General government total expenditure","Percent of GDP","",NA,NA,NA,NA,NA,NA,NA,30.3,36.751,37.108,33.838,32.685,31.535,29.68,30.155,28.892,29.191,29.309,31.726,32.679,29.387,28.923,28.229,29.193,31.729,30.758,29.139,29.162,29.077,29.075,"32.619",31.552,31.39,30.328,2022
"76","ALB","GGXCNL","Albania","General government net lending/borrowing","National currency","Billions",NA,NA,NA,NA,NA,NA,NA,-39.434,-38.198,-39.22,-38.954,-38.524,-37.922,-33.928,-38.083,-27.806,-28.479,-30.695,-52.782,-75.345,-43.637,-45.734,-45.857,-70.408,-76.149,-61.931,-22.052,-21.795,-26.521,-31.579,"-110.374",-85.328,-78.226,-59.581,2022
"77","ALB","GGXCNL_NGDP","Albania","General government net lending/borrowing","Percent of GDP","",NA,NA,NA,NA,NA,NA,NA,-11.902,-9.926,-8.841,-7.772,-6.837,-6.212,-5.006,-5.163,-3.458,-3.263,-3.179,-4.884,-6.586,-3.52,-3.516,-3.441,-5.215,-5.458,-4.318,-1.498,-1.406,-1.62,-1.866,"-6.713",-4.515,-3.772,-2.721,2022
"78","ALB","GGSB","Albania","General government structural balance","National currency","Billions",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"79","ALB","GGSB_NPGDP","Albania","General government structural balance","Percent of potential GDP","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"80","ALB","GGXONLB","Albania","General government primary net lending/borrowing","National currency","Billions",NA,NA,NA,NA,NA,NA,NA,-21.284,-3.32,-5.006,-9.381,-14.904,-13.159,-4.105,-9.66,-1.777,-3.474,-5.166,-21.476,-39.044,-2.033,-4.611,-4.359,-27.073,-36.074,-23.288,14.207,10.109,9.993,3.564,"-75.98",-49.505,-38.602,-0.483,2022
"81","ALB","GGXONLB_NGDP","Albania","General government primary net lending/borrowing","Percent of GDP","",NA,NA,NA,NA,NA,NA,NA,-6.424,-0.863,-1.129,-1.872,-2.645,-2.155,-0.606,-1.31,-0.221,-0.398,-0.535,-1.987,-3.413,-0.164,-0.355,-0.327,-2.005,-2.585,-1.624,0.965,0.652,0.611,0.211,"-4.621",-2.62,-1.861,-0.022,2022
